	PC1	PC2	PC3	Population
Three_S1Sort	2.26555124654951	-11.4644253082293	-0.538946829822165	Treated 1
Three_S28Sort	8.20430417473768	-7.76882966363944	-5.10175882875066	Treated 1
Three_S29Sort	8.53117866188075	-7.28881838943959	-4.28873165405327	Treated 1
Three_S30Sort	8.39978821647552	-10.884062492549	-4.51725497816269	Treated 1
Three_S31Sort	6.54099459167803	-4.69488867703804	-5.72158519770979	Treated 1
Three_S32Sort	10.5800163054644	9.38320316197455	4.19495406647355	Treated 1
Three_S57Sort	9.26449049094126	-4.3053021919078	4.23497847067872	Treated 1
Three_S58Sort	3.18499452563067	-6.42623571975	5.61794703754123	Treated 1
Three_S59Sort	8.69768620615343	9.66108314634181	10.7116312900644	Treated 1
Three_S60Sort	8.66223777587635	0.848086330655467	7.96359482517525	Treated 1
Three_S61Sort	9.70167154379527	7.94631899172346	11.7868962322209	Treated 1
Three_S2Sort	5.30051122238466	-2.43107735270784	5.65999338392192	Treated 1
Three_S62Sort	10.5376906720085	-1.78420069543853	1.95919579365947	Treated 1
Three_S3Sort	12.6075533766126	-8.37207719743862	-12.4855604788863	Treated 1
Three_S4Sort	9.39586067192398	-1.01348069220279	-6.17205502449522	Treated 1
Three_S5Sort	4.41341503552369	11.6219781873762	17.5253056385403	Treated 1
Three_S6Sort	6.05563671165404	-6.27344582390524	-2.20282409227698	Treated 1
Three_S25Sort	12.9771847061006	0.143708873285447	-5.24792489061867	Treated 1
Three_S26Sort	8.12842164461156	-1.08553830391917	4.26615412721267	Treated 1
Three_S27Sort	14.7262969278045	-10.5511095173234	-10.1019026292986	Treated 1
Three_S7Sort	-0.0778114606051219	3.59742479777574	6.66110776519436	Treated 2
Three_S36Sort	15.3113827019925	15.4512182058889	2.82196894457687	Treated 2
Three_S37Sort	8.20160247756505	-0.696023465583336	-1.64706687227502	Treated 2
Three_S38Sort	12.3006195056349	17.4705654825489	5.65511499563887	Treated 2
Three_S39Sort	7.91328722945703	-5.89882015553387	3.55034850202919	Treated 2
Three_S40Sort	11.4053195336359	-0.166999884809592	-5.87180001447285	Treated 2
Three_S63Sort	6.65838076300502	-7.55555401187873	-2.33091703025476	Treated 2
Three_S64Sort	4.7644576776433	-11.8729419543332	-4.21549473580454	Treated 2
Three_S65Sort	13.3523266634297	14.3256848882675	5.47122775396223	Treated 2
Three_S66Sort	11.1043332281592	-2.03454548081839	-0.137935653647044	Treated 2
Three_S67Sort	3.94890852965595	5.60066205075685	13.218026140852	Treated 2
Three_S8Sort	6.72200374741343	11.2717132690173	8.74358904155366	Treated 2
Three_S68Sort	12.1796020681754	-4.61820448162407	-3.20442550747021	Treated 2
Three_S9Sort	10.7298999418325	-2.02167127573406	-4.26072556643633	Treated 2
Three_S10Sort	9.70840133848423	0.552778067004805	-2.42734373885672	Treated 2
Three_S11Sort	7.66982381929873	0.0537991253554475	0.325558233201032	Treated 2
Three_S12Sort	18.4316836528658	0.1538296530367	-6.59977706432138	Treated 2
Three_S33Sort	10.8109833918561	4.23495330538567	-4.34693247990482	Treated 2
Three_S34Sort	4.73418029868331	10.4486744644361	10.7169821141086	Treated 2
Three_S35Sort	9.34352957213925	-8.5855333011193	-9.31067427775024	Treated 2
Three_S13Sort	-7.19891866521513	-20.7565788467148	4.21810206388973	Untreated 1
Three_S44Sort	-2.86327820759566	-10.8957776943533	-11.2686761015423	Untreated 1
Three_S45Sort	-10.3412265488515	8.43446938812726	16.4682351706393	Untreated 1
Three_S46Sort	-2.88377753367418	-2.09735664914469	3.81481143581206	Untreated 1
Three_S47Sort	-3.19230393387487	-2.41011080686689	-2.37277486014092	Untreated 1
Three_S48Sort	-16.3955712981477	-5.8865747798925	14.4806191172888	Untreated 1
Three_S69Sort	-10.7769588279756	-1.56767023090542	10.9191874770126	Untreated 1
Three_S70Sort	0.867510640250912	5.49111742290235	10.7460042734819	Untreated 1
Three_S71Sort	-11.4399050032265	-14.1024867025741	10.996249867013	Untreated 1
Three_S72Sort	-12.4629073507004	-11.1432074065248	5.38297127108195	Untreated 1
Three_S73Sort	-0.5519793858179	-5.78421188051823	-3.73395221145621	Untreated 1
Three_S14Sort	1.58045104996308	-2.49826620238957	5.83316147350102	Untreated 1
Three_S74Sort	-9.6523070491954	0.621425849176541	12.7846018786046	Untreated 1
Three_S15Sort	-6.55357326634308	-14.6216608661262	2.78233098319596	Untreated 1
Three_S16Sort	-8.57711967637695	-17.9741015904463	0.462699019352772	Untreated 1
Three_S17Sort	-14.8285534745543	-12.9853481211806	12.8273983132166	Untreated 1
Three_S18Sort	-9.52212216495635	-0.0747173459534825	11.9110568985726	Untreated 1
Three_S41Sort	-6.06350733559001	-7.06452206668802	6.24448032093823	Untreated 1
Three_S42Sort	-13.8073309890869	-6.05456272137867	12.1948098881952	Untreated 1
Three_S43Sort	-9.26087655425913	-2.57644721784947	4.96813348761038	Untreated 1
S2_10Sort	-8.579877276099	3.92866577304961	-10.2973559507077	Untreated 2
S2_11Sort	-9.87392813934324	6.35767657042178	-9.21510019092972	Untreated 2
S2_12Sort	-5.86434702307606	7.17936402002693	-11.945220098162	Untreated 2
S2_13Sort	-13.4770056276417	4.66563576457719	-8.6652215390787	Untreated 2
S2_14Sort	-10.3276799088768	5.13746836631412	-13.6523418380122	Untreated 2
S2_15Sort	-8.12649458312458	11.8387241118829	-5.31938361562411	Untreated 2
S2_16Sort	-12.1682679951673	8.43413266260211	-9.99445649319546	Untreated 2
S2_17Sort	-6.67957910175679	8.88426125796671	-6.34430372585062	Untreated 2
S2_18Sort	-9.24875681535591	5.06440691804353	-4.32145578742732	Untreated 2
S2_19Sort	-7.6614157761268	3.15824502903277	-9.25149011692337	Untreated 2
S2_1Sort	-10.6830575928643	3.89979341063392	-8.85113016792602	Untreated 2
S2_20Sort	-6.17691463533834	9.23709528595732	-9.53384385055612	Untreated 2
S2_2Sort	-10.8645680204457	9.02621591485866	-2.79481246890347	Untreated 2
S2_3Sort	-8.94108528647907	9.09063201412142	-7.32581701200947	Untreated 2
S2_4Sort	-14.1182790515819	1.27383335704911	-6.13192887625954	Untreated 2
S2_5Sort	-10.0465643079798	3.03083325973401	-6.91493324161131	Untreated 2
S2_6Sort	-11.8567254880353	6.73706879711962	-10.5054109900066	Untreated 2
S2_7Sort	-8.89281241529064	5.65226856265946	-8.85045900451903	Untreated 2
S2_8Sort	-13.0709204235003	7.82268334402127	-5.42985765994714	Untreated 2
S2_9Sort	-12.8058643448183	8.55568808532098	-4.66786394995445	Untreated 2
